2018.03.13,863 ,12.00,-1.37%,"21,262,825"
2018.03.14,764 ,99.00,-11.47%,"43,248,438"
2018.03.15,753 ,11.00,-1.44%,"145,885,121"
2018.03.16,745 ,8.00,-1.06%,"55,493,488"
2018.03.17,689 ,56.00,-7.52%,"29,629,294"
2018.03.18,711 ,22.00,+3.19%,"96,805,074"
2018.03.19,813 ,102,+14.35%,"173,157,176"
2018.03.20,772 ,41.00,-5.04%,"138,571,804"
2018.03.21,756 ,16.00,-2.07%,"82,937,640"
2018.03.22,733 ,23.00,-3.04%,"55,117,063"
2018.03.23,708 ,25.00,-3.41%,"65,203,495"
2018.03.24,703 ,5.00,-0.71%,"71,904,721"
2018.03.25,710 ,7.00,+1.00%,"24,574,414"
2018.03.26,655 ,55.00,-7.75%,"37,712,779"
2018.03.27,631 ,24.00,-3.66%,"36,386,737"
2018.03.28,629 ,2.00,-0.32%,"24,174,526"
2018.03.29,559 ,70.00,-11.13%,"50,804,869"
2018.03.30,554 ,5.00,-0.89%,"63,353,153"
2018.03.31,556 ,2.00,+0.36%,"37,034,384"
2018.04.01,526 ,30.00,-5.40%,"41,310,084"
2018.04.02,540 ,14.00,+2.66%,"47,963,419"
2018.04.03,600 ,60.00,+11.11%,"137,148,277"
2018.04.04,542 ,58.00,-9.67%,"63,537,249"
2018.04.05,534 ,8.00,-1.48%,"65,019,651"
2018.04.06,520 ,14.00,-2.62%,"24,434,453"
2018.04.07,529 ,9.00,+1.73%,"25,832,890"
2018.04.08,540 ,11.00,+2.08%,"17,154,421"
2018.04.09,533 ,7.00,-1.30%,"30,968,176"
2018.04.10,531 ,2.00,-0.38%,"13,995,915"
2018.04.11,574 ,43.00,+8.10%,"54,880,459"
2018.04.12,657 ,83.00,+14.46%,"276,522,681"
2018.04.13,681 ,24.00,+3.65%,"202,032,728"
2018.04.14,665 ,16.00,-2.35%,"83,929,446"
2018.04.15,714 ,49.00,+7.37%,"94,450,720"
2018.04.16,712 ,2.00,-0.28%,"74,737,170"
2018.04.17,702 ,10.00,-1.40%,"66,727,471"
2018.04.18,755 ,53.00,+7.55%,"91,206,291"
2018.04.19,848 ,93.00,+12.32%,"111,971,377"
2018.04.20,995 ,147,+17.33%,"417,477,998"
2018.04.21,942 ,53.00,-5.33%,"213,233,234"
2018.04.22,940 ,2.00,-0.21%,"130,405,205"
2018.04.23,954 ,14.00,+1.49%,"79,631,187"
2018.04.24,"1,000 ",46.00,+4.82%,"254,196,099"
2018.04.25,876 ,124,-12.40%,"220,134,855"
2018.04.26,925 ,49.00,+5.59%,"119,592,712"
2018.04.27,887 ,38.00,-4.11%,"71,384,630"
2018.04.28,927 ,40.00,+4.51%,"113,320,217"
2018.04.29,938 ,11.00,+1.19%,"169,917,337"
2018.04.30,910 ,28.00,-2.99%,"82,401,024"
2018.05.01,910 ,0,0.00%,"83,967,899"
2018.05.02,931 ,21.00,+2.31%,"58,529,831"
2018.05.03,966 ,35.00,+3.76%,"85,623,104"
2018.05.04,974 ,8.00,+0.83%,"128,795,524"
2018.05.05,989 ,15.00,+1.54%,"80,971,137"
2018.05.06,957 ,32.00,-3.24%,"65,568,980"
2018.05.07,921 ,36.00,-3.76%,"47,781,634"
2018.05.08,898 ,23.00,-2.50%,"35,188,655"
2018.05.09,888 ,10.00,-1.11%,"49,201,671"
2018.05.10,828 ,60.00,-6.76%,"32,752,312"
2018.05.11,745 ,83.00,-10.02%,"94,325,145"
2018.05.12,766 ,21.00,+2.82%,"49,292,951"
2018.05.13,823 ,57.00,+7.44%,"45,822,669"
2018.05.14,821 ,2.00,-0.24%,"46,035,162"
2018.05.15,775 ,46.00,-5.60%,"25,255,603"
2018.05.16,787 ,12.00,+1.55%,"28,893,934"
2018.05.17,744 ,43.00,-5.46%,"21,352,566"
2018.05.18,752 ,8.00,+1.08%,"15,572,805"
2018.05.19,746 ,6.00,-0.80%,"9,877,136"
2018.05.20,769 ,23.00,+3.08%,"13,973,581"
2018.05.21,753 ,16.00,-2.08%,"14,865,487"
2018.05.22,715 ,38.00,-5.05%,"11,417,594"
2018.05.23,667 ,48.00,-6.71%,"25,378,492"
2018.05.24,697 ,30.00,+4.50%,"26,332,016"
2018.05.25,674 ,23.00,-3.30%,"15,440,456"
2018.05.26,676 ,2.00,+0.30%,"8,501,293"
2018.05.27,671 ,5.00,-0.74%,"7,242,092"
2018.05.28,608 ,63.00,-9.39%,"16,900,782"
2018.05.29,668 ,60.00,+9.87%,"27,130,292"
2018.05.30,668 ,0,0.00%,"22,595,619"
2018.05.31,677 ,9.00,+1.35%,"19,115,588"
2018.06.01,683 ,6.00,+0.89%,"14,176,569"
2018.06.02,702 ,19.00,+2.78%,"14,327,310"
2018.06.03,752 ,50.00,+7.12%,"18,319,330"
2018.06.04,723 ,29.00,-3.86%,"37,154,490"
2018.06.05,738 ,15.00,+2.07%,"26,281,953"
2018.06.06,736 ,2.00,-0.27%,"13,508,177"
2018.06.07,737 ,1.00,+0.14%,"11,698,052"
2018.06.08,735 ,2.00,-0.27%,"8,142,332"
2018.06.09,722 ,13.00,-1.77%,"6,170,867"
2018.06.10,651 ,71.00,-9.83%,"28,859,515"
2018.06.11,665 ,14.00,+2.15%,"20,947,760"
2018.06.12,625 ,40.00,-6.02%,"20,655,810"
2018.06.13,592 ,33.00,-5.28%,"20,316,172"
2018.06.14,618 ,26.00,+4.39%,"29,923,915"
2018.06.15,597 ,21.00,-3.40%,"15,423,807"
2018.06.16,595 ,2.00,-0.34%,"12,742,402"
2018.06.17,589 ,6.00,-1.01%,"6,893,352"
2018.06.18,598 ,9.00,+1.53%,"13,130,391"
2018.06.19,614 ,16.00,+2.68%,"13,468,423"
2018.06.20,602 ,12.00,-1.95%,"21,631,567"
2018.06.21,600 ,2.00,-0.33%,"9,481,719"
2018.06.22,555 ,45.00,-7.50%,"21,280,044"
2018.06.23,557 ,2.00,+0.36%,"10,848,527"
2018.06.24,539 ,18.00,-3.23%,"24,434,488"
2018.06.25,540 ,1.00,+0.19%,"14,675,267"
2018.06.26,515 ,25.00,-4.63%,"8,111,421"
2018.06.27,530 ,15.00,+2.91%,"10,543,009"
2018.06.28,507 ,23.00,-4.34%,"8,705,155"
2018.06.29,509 ,2.00,+0.39%,"20,884,309"
2018.06.30,524 ,15.00,+2.95%,"25,862,581"
2018.07.01,515 ,9.00,-1.72%,"15,362,746"
2018.07.02,540 ,25.00,+4.85%,"24,582,935"
2018.07.03,542 ,2.00,+0.37%,"32,391,716"
2018.07.04,546 ,4.00,+0.74%,"25,739,603"
2018.07.05,538 ,8.00,-1.47%,"16,887,956"
2018.07.06,539 ,1.00,+0.19%,"13,481,528"
2018.07.07,542 ,3.00,+0.56%,"5,386,625"
