"1,540 ",175,+12.82%,"93,826,225"
"1,450 ",90.00,-5.84%,"77,716,606"
"1,270 ",180,-12.41%,"76,074,108"
"1,260 ",10.00,-0.79%,"101,882,447"
"1,040 ",220,-17.46%,"101,967,406"
956 ,84.00,-8.08%,"478,265,553"
982 ,26.00,+2.72%,"313,834,422"
891 ,91.00,-9.27%,"139,107,715"
773 ,118,-13.24%,"111,163,948"
848 ,75.00,+9.70%,"243,053,101"
789 ,59.00,-6.96%,"132,551,422"
898 ,109,+13.81%,"154,921,812"
"1,050 ",152,+16.93%,"366,358,277"
"1,190 ",140,+13.33%,"856,656,523"
"1,105 ",85.00,-7.14%,"537,543,914"
"1,190 ",85.00,+7.69%,"332,550,652"
"1,140 ",50.00,-4.20%,"132,337,670"
"1,240 ",100,+8.77%,"162,289,438"
"1,250 ",10.00,+0.81%,"132,731,328"
"1,250 ",0,0.00%,"46,595,455"
"1,310 ",60.00,+4.80%,"148,561,813"
"1,225 ",85.00,-6.49%,"114,006,387"
"1,260 ",35.00,+2.86%,"51,395,060"
"1,235 ",25.00,-1.98%,"76,359,516"
"1,160 ",75.00,-6.07%,"69,398,702"
"1,055 ",105,-9.05%,"80,711,265"
"1,120 ",65.00,+6.16%,"94,646,952"
"1,070 ",50.00,-4.46%,"47,756,242"
"1,055 ",15.00,-1.40%,"35,072,290"
"1,060 ",5.00,+0.47%,"48,120,568"
"1,045 ",15.00,-1.42%,"22,802,318"
"1,015 ",30.00,-2.87%,"23,967,563"
"1,020 ",5.00,+0.49%,"49,779,968"
"1,005 ",15.00,-1.47%,"21,721,679"
"1,000 ",5.00,-0.50%,"24,832,723"
"1,095 ",95.00,+9.50%,"55,595,639"
"1,045 ",50.00,-4.57%,"152,592,018"
"1,010 ",35.00,-3.35%,"74,440,041"
958 ,52.00,-5.15%,"81,721,929"
906 ,52.00,-5.43%,"48,059,833"
925 ,19.00,+2.10%,"113,357,055"
869 ,56.00,-6.05%,"44,571,945"
896 ,27.00,+3.11%,"52,847,326"
875 ,21.00,-2.34%,"38,942,306"
863 ,12.00,-1.37%,"21,262,825"
764 ,99.00,-11.47%,"43,248,438"
753 ,11.00,-1.44%,"145,885,121"
745 ,8.00,-1.06%,"55,493,488"
689 ,56.00,-7.52%,"29,629,294"
711 ,22.00,+3.19%,"96,805,074"
813 ,102,+14.35%,"173,157,176"
772 ,41.00,-5.04%,"138,571,804"
756 ,16.00,-2.07%,"82,937,640"
733 ,23.00,-3.04%,"55,117,063"
708 ,25.00,-3.41%,"65,203,495"
703 ,5.00,-0.71%,"71,904,721"
710 ,7.00,+1.00%,"24,574,414"
655 ,55.00,-7.75%,"37,712,779"
631 ,24.00,-3.66%,"36,386,737"
629 ,2.00,-0.32%,"24,174,526"
559 ,70.00,-11.13%,"50,804,869"
554 ,5.00,-0.89%,"63,353,153"
556 ,2.00,+0.36%,"37,034,384"
526 ,30.00,-5.40%,"41,310,084"
540 ,14.00,+2.66%,"47,963,419"
600 ,60.00,+11.11%,"137,148,277"
542 ,58.00,-9.67%,"63,537,249"
534 ,8.00,-1.48%,"65,019,651"
520 ,14.00,-2.62%,"24,434,453"
529 ,9.00,+1.73%,"25,832,890"
540 ,11.00,+2.08%,"17,154,421"
533 ,7.00,-1.30%,"30,968,176"
531 ,2.00,-0.38%,"13,995,915"
574 ,43.00,+8.10%,"54,880,459"
657 ,83.00,+14.46%,"276,522,681"
681 ,24.00,+3.65%,"202,032,728"
665 ,16.00,-2.35%,"83,929,446"
714 ,49.00,+7.37%,"94,450,720"
712 ,2.00,-0.28%,"74,737,170"
702 ,10.00,-1.40%,"66,727,471"
755 ,53.00,+7.55%,"91,206,291"
848 ,93.00,+12.32%,"111,971,377"
995 ,147,+17.33%,"417,477,998"
